trd_delivery_time_start,var,std
0,264.61108815056207,16.266870877663045
1,275.26637356853337,16.591153473117334
2,275.40732917952386,16.595400844195474
3,331.1845750400554,18.19847727256474
4,405.98830292652235,20.149151419514478
5,334.91875947172986,18.300785761046704
6,329.9015892245316,18.16319325516666
7,368.98427368371733,19.20896336827465
8,343.80742830666634,18.542044879318635
9,283.5502788493675,16.838951239592312
10,306.2873593906298,17.501067378609505
11,297.5008716449923,17.248213578367828
12,302.81779394597856,17.401660666326606
13,312.73634375381533,17.684353077051345
14,280.4692120309257,16.74721505298495
15,266.4136805549238,16.322183694436347
16,256.65270072439546,16.020383913140016
17,282.77300811887244,16.815855854486635
18,238.48548680335313,15.44297532224128
19,237.4033869936042,15.407900148742014
20,230.5968436755998,15.18541549235976
21,330.267956606111,18.173275890881946
22,246.40864714293036,15.697408930869145
23,317.2954424992165,17.81278873447997
