,0
Points_position_HolStein,-0.02381106888587764
Points_position_Lower_Saxony,-0.1243283168940735
Points_position_Pomerania,0.003345640362100007
Points_position_Brandeburg,-0.016170973714136738
Points_position_Thuringia,-0.05871298227936558
Points_position_Westphalia,-0.13682360611190358
Points_position_Rhineland,-0.11388142193983737
Points_position_Bavaria,-0.0514731135471921
Points_position_Baden,-0.10309892483446861
Points_position_Saxony,-0.04769923810500409
Points_position_Anhalt,-0.06159819750893298
Points_position_Hesse,-0.0965588603000502
wind_mean,-0.07490570891172568
